Geração 1,Geração 2,Geração 3,Geração 4,Geração 5,Geração 6,Geração 7,Geração 8,Geração 9,Geração 10,Geração 11,Geração 12,Geração 13,Geração 14,Geração 15,Geração 16,Geração 17,Geração 18,Geração 19,Geração 20,Geração 21,Geração 22,Geração 23,Geração 24,Geração 25,Geração 26,Geração 27,Geração 28,Geração 29,Geração 30,Geração 31,Geração 32,Geração 33,Geração 34,Geração 35,Geração 36,Geração 37,Geração 38,Geração 39,Geração 40,Geração 41,Geração 42,Geração 43,Geração 44,Geração 45,Geração 46,Geração 47,Geração 48,Geração 49,Geração 50
367.0,272.0,456.0,909.0,344.0,447.0,352.0,632.0,811.0,1110.0,2238.0,659.0,2597.0,1564.0,2789.0,6780.0,2491.0,2782.0,6780.0,3808.0,6780.0,3424.0,6780.0,3151.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,252.0,346.0,532.0,284.0,438.0,352.0,552.0,811.0,909.0,2224.0,656.0,2491.0,1383.0,2771.0,3434.0,2491.0,2776.0,6780.0,3808.0,3717.0,3424.0,6780.0,812.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,177.0,281.0,438.0,275.0,438.0,347.0,548.0,726.0,724.0,1384.0,655.0,2491.0,1377.0,2771.0,2311.0,2491.0,2775.0,6780.0,3802.0,1665.0,3424.0,6780.0,811.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,169.0,277.0,438.0,267.0,438.0,344.0,547.0,725.0,723.0,1379.0,655.0,1659.0,998.0,1754.0,2310.0,1749.0,1933.0,3436.0,3798.0,1558.0,1941.0,6780.0,811.0,2974.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,169.0,269.0,353.0,267.0,438.0,344.0,545.0,537.0,722.0,1218.0,655.0,1655.0,998.0,1753.0,2309.0,1188.0,1931.0,3432.0,3714.0,1558.0,1938.0,6780.0,811.0,2966.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,167.0,193.0,282.0,265.0,438.0,344.0,544.0,456.0,722.0,1218.0,655.0,1653.0,998.0,1751.0,2308.0,1188.0,1190.0,3431.0,3706.0,1558.0,1934.0,6780.0,811.0,2966.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,161.0,177.0,275.0,263.0,438.0,344.0,544.0,446.0,722.0,821.0,653.0,1652.0,998.0,1748.0,2308.0,1019.0,1188.0,3431.0,3249.0,1558.0,1932.0,6780.0,811.0,2965.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
150.0,161.0,177.0,271.0,261.0,438.0,344.0,542.0,440.0,721.0,741.0,651.0,1652.0,998.0,1679.0,2307.0,1019.0,1188.0,3430.0,3244.0,1558.0,1932.0,6780.0,811.0,2964.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
135.0,159.0,176.0,259.0,252.0,438.0,344.0,368.0,438.0,720.0,738.0,646.0,1652.0,998.0,1005.0,2307.0,1017.0,1187.0,3430.0,2511.0,1122.0,1931.0,6780.0,811.0,2964.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
129.0,158.0,173.0,257.0,252.0,438.0,344.0,365.0,438.0,720.0,737.0,642.0,1651.0,743.0,1003.0,2307.0,1005.0,1187.0,3430.0,2407.0,1113.0,1931.0,6780.0,811.0,2964.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
