Geração 1,Geração 2,Geração 3,Geração 4,Geração 5,Geração 6,Geração 7,Geração 8,Geração 9,Geração 10,Geração 11,Geração 12,Geração 13,Geração 14,Geração 15,Geração 16,Geração 17,Geração 18,Geração 19,Geração 20,Geração 21,Geração 22,Geração 23,Geração 24,Geração 25,Geração 26,Geração 27,Geração 28,Geração 29,Geração 30,Geração 31,Geração 32,Geração 33,Geração 34,Geração 35,Geração 36,Geração 37,Geração 38,Geração 39,Geração 40,Geração 41,Geração 42,Geração 43,Geração 44,Geração 45,Geração 46,Geração 47,Geração 48,Geração 49,Geração 50
344.0,253.0,438.0,460.0,531.0,2901.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
273.0,251.0,278.0,380.0,531.0,815.0,439.0,4648.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
191.0,251.0,277.0,369.0,278.0,531.0,438.0,1931.0,1499.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
160.0,251.0,191.0,347.0,259.0,531.0,438.0,1468.0,817.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,251.0,186.0,345.0,257.0,531.0,438.0,1309.0,816.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,194.0,185.0,344.0,253.0,453.0,438.0,827.0,816.0,560.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,190.0,185.0,344.0,252.0,447.0,438.0,742.0,814.0,466.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,189.0,181.0,344.0,252.0,446.0,438.0,734.0,814.0,368.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,180.0,173.0,344.0,192.0,355.0,438.0,732.0,814.0,366.0,2806.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
158.0,180.0,170.0,344.0,189.0,351.0,438.0,727.0,813.0,346.0,2800.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0,6780.0
